zts1e	Nowy przedmiot
zts2781e	B³ogos³awieñstwo Ancelloan (event)
zts2782e	Akt4 Skrzynia skarbów A
zts2783e	Znajduje siê w niej wiele ró¿noœci.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Wodê Ÿródlan¹ z Cylloan, Olbrzymi Eliksir Odnowy, Dymek,Skrzyd³o PrzyjaŸni oraz G³oœnik.[n]
zts2784e	Akt4 Skrzynia Skarbów B
zts2785e	Skrzynia z rozmaitymi przedmiotami. Znajduje siê w niej jedna z nastêpuj¹cych niespodzianek: Szlachetny naszyjnik Kocie Oko, Per³a wampirka, Per³a Boing, Wzmacniacz Wró¿ki, Niebieski azjatycki kapelusz lub Diadem cesarza.[n]
zts2786e	Aby dowiedzieæ siê co zawiera w sobie pude³ko prezentów wystarczy klikn¹æ je dwa razy. Ten przedmiot znika po zakoñczeniu Eventu.[n][n]
zts2787e	Eliksir si³y ataku PvP
zts2788e	Przez godzinê zwiêksza si³ê gracza w trybie PvP. Efekt ten dzia³a tylko w Glacernon. [n][n]
zts2789e	Kapsu³ka obrony PvP
zts2790e	Zwiêksza obronê w PvP przez godzinê[n] Dzia³a tylko jeœli gracz znajduje siê Glacernon.[n]
zts2791e	Kapsu³ka odpornoœci PvP
zts2792e	Przez godzinê zwiêksza odpornoœci gracza w trybie PvP. Efekt ten dzia³a tylko w Glacernon.[n][n]
zts2793e	Róg przywo³ania rodziny
zts2794e	Przywo³uje cz³onków rodziny do miejsca, w którym zosta³ u¿yty.[n] W prawym rogu pojawi siê banner [n] dostêpne tylko dla cz³onków rodzinny znajduj¹cych siê na tym samym kanale, nie mo¿na u¿ywaæ podczas rajdów i w kamieniach czasoprzestrzeni.[n]
zts2795e	Zestaw do budowy Relikwii Anio³ów
zts2796e	Wybuduj relikwiê, która na godzinê przywróci do ¿ycia bia³e foki w obozie anio³ów.[n] Wskrzesza z 100% P¯ i PM i przez 5 sekund daje nieœmiertelnoœæ.[n] Jeœli gracz siê wskrzesi lub przeciwnik zaatakuje budynek zmniejsza siê jego trwa³oœæ i po up³yniêciu czasu budynek zniknie.[n] Tylko dla graczy w Frakcji Anio³ów, dzia³a wy³¹cznie w Glacernon.
zts2797e	Zestaw do budowania O³tarza Diab³a
zts2798e	Wybuduj o³tarz, która na godzinê przywróci do ¿ycia bia³e foki w obozie diab³ów.[n] Wskrzesza z 100% P¯ i PM i przez 5 sekund daje nieœmiertelnoœæ.[n] Jeœli gracz siê wskrzesi lub przeciwnik zaatakuje budynek zmniejsza siê jego trwa³oœæ i po up³yniêciu czasu budynek zniknie.[n] Tylko dla graczy w frakcji anio³ów, dzia³a wy³¹cznie w Glacernon.[n]
zts2799e	Tylko dla graczy poziomu 65-99 [n] Mo¿na wejœæ przez [1. piêtro Ukrytego Laboratorium] [n] Mo¿na wejœæ tylko samemu [n][n]
zts2800e	Tylko dla graczy poziomu 65-99 [n] Mo¿na wejœæ przez [2. piêtro Ukrytego Laboratorium] [n] Mo¿na wejœæ tylko samemu [n][n]
zts2801e	Stajesz siê odporny na choroby zakaŸne roznoszone przez zombie. [n][n]
zts2802e	Skrzynia skarbów Rajdu Mistrz Morcos
zts2803e	Skrzynia skarbów rajdu Mistrz Morcos.[n] Mo¿esz zdobyæ skarb Mistrza Morcos, jeœli otworzysz skrzynie.[n] (Zdobyte wyposa¿enie bêdzie mia³o taki sam poziom unikalnoœci jak skrzynia).[n][n]
zts2804e	Wodny Krzakogon
zts2805e	Czwarty Klucz szczêœcia
zts2806e	Czwarta mityczna Skrzynia skarbów
zts2807e	W skrzyni znajduje siê mistyczny skarb![n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Per³ê wodnego krzakogona, Medal specjalisty, Zwój ochrony karty PS (Wysoki poziom), Zwój ochrony Karty (Niski poziom) lub Eliksir inicjalizacji punktów.[n]
zts2808e	Czwarta tajemnicza Skrzynia skarbów
zts2809e	W skrzyni znajduje siê tajemniczy skarb![n]Mo¿esz otrzymaæ jedn¹ z nastêpuj¹cych par przedmiotów:[n]Dla mê¿czyzn:[n]Wiosenny Hanbok i Hogeon (30 dni),[n] Chipao smoka i Niebieski azjatycki kapelusz (30 dni),[n] Kimono œwiat³a ksiê¿yca i Ebosi (30 dni),[n] Dla kobiet:[n]Azaleen Hanbok i Ayam (30 dni),[n]Lawendowe chipao i Diadem cesarza (30 dni) lub [n]Kimono Kwiatu Wiœni i Kwiatow¹ spinkê do w³osów (30 dni).[n]
zts2810e	Czwarta antyczna Skrzynia skarbów
zts2811e	Od antycznych czasów w skrzyni ukryty jest skarb![n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Wodê Ÿródlan¹ z Cylloan, Koszyk zwierz¹tka, Plecak poszukiwacza przygód, Plecak partnera, B³ogos³awieñstwo Ancelloana lub Zwój ochrony wyposa¿enia.[n]
zts2812e	Czwarta wartoœciowa Skrzynia skarbów
zts2813e	W skrzyni znajduj¹ siê wartoœciowe skarby.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: 2x Amulet B³ogos³awieñstwa, Amulet Si³y, Amulet Twardoœci lub Szyld z imieniem dla NosKumpla.[n]
zts2814e	Czwarta wartoœciowa Skrzynia skarbów
zts2815e	Dzwoneczek (7 dni)
zts2816e	Uroczy kostium wró¿ki![n]Czas u¿ytkowania liczony jest od momentu za³o¿enia.[n] +5% do obrony [n] Maksymalne P¯ +200[n][n]
zts2817e	Kostium Wró¿ki (30 dni)
zts2818e	Kostium Wró¿ki (na sta³e)
zts2819e	Bia³y Demon (7 dni)
zts2820e	Zabawny kostium demona![n]Czas u¿ytkowania liczony jest od momentu za³o¿enia.[n] +5% do obrony [n] Maksymalne P¯ +200[n][n]
zts2821e	Kostium Demona (30 dni)
zts2822e	Bia³y Demon (na sta³e)
zts2823e	Opaska Wró¿ki (7 dni)
zts2824e	Urocza ró¿owa kokarda do w³osów![n]Czas u¿ytkowania liczony jest od momentu za³o¿enia.[n] +5% do wszystkich ataków [n] Maksymalne PM +200[n][n]
zts2825e	Opaska Wró¿ki (30 dni)
zts2826e	Opaska Wró¿ki (na sta³e)
zts2827e	Kapelusz Demona (7 dni)
zts2828e	Przepiêkny bia³y filcowy kapelusz! [n]Czas u¿ytkowania liczony jest od momentu za³o¿enia.[n] +5% do wszystkich ataków [n] Maksymalne PM +200[n][n]
zts2829e	Kapelusz Demona (30 dni)
zts2830e	Kapelusz Demonów (na sta³e)
zts2831e	Skrzynia skarbów Letniego hanboka
zts2832e	Zawiera Letni Hanbok (30 dni) oraz Hogeon (30 dni) dla mê¿czyzn.
zts2833e	Skrzynia skarbów Wiosennego hanboka
zts2834e	Zawiera Wiosenny hanbok (na sta³e) oraz Hogeon (na sta³e) dla mê¿czyzn.[n][n]
zts2835e	Skrzynia skarbów Chipao Cesarza
zts2836e	Zawiera Chipao Cesarza (30 dni) oraz Niebieski azjatycki kapelusz (30 dni) dla mê¿czyzn.[n][n]
zts2837e	Skrzynia skarbów Chipao Kung-fu
zts2838e	Zawiera Chipao Kung-fu (na sta³e) oraz Azjatycki kapelusz (na sta³e) dla mê¿czyzn.[n][n]
zts2839e	Skrzynia skarbów Kimona porannego blasku
zts2840e	Zawiera Kimono porannego blasku (30 dni) oraz Ebosi (30 dni).[n][n]
zts2841e	Skrzynia skarbów Kimona œwiat³a ksiê¿yca
zts2842e	Zawiera kimono œwiat³a ksiê¿yca (na sta³e) oraz Ebosi (na sta³e).[n][n]
zts2843e	Skrzynia skarbów Azalea hanbok
zts2844e	Zawiera Azalea Hanbok (30 dni) oraz Ayam (30 dni) dla kobiet.
zts2845e	Skrzynia skarbów Krokus hanboka
zts2846e	Zawiera Krokus hanbok (na sta³e) oraz Ayam (na sta³e) dla kobiet. [n][n]
zts2847e	Skrzynia skarbów Feniksa Chipao
zts2848e	Zawiera Czerwony Feniks Chipao (30 dni) oraz Diadem Cesarzowej (30 dni) dla kobiet.[n][n]
zts2849e	Skrzynia skarbów Lawendowego Chipao
zts2850e	Zawiera Lawendowe Chipao (bez ograniczeñ) oraz Diadem Cesarzowej (bez ograniczeñ) dla kobiet.[n][n]
zts2851e	Skrzynia skarbów Kimona Kwiatu Wiœni
zts2852e	Zawiera Kimono Kwiatu Wiœni oraz Kwiatow¹ spinkê do w³osów (30 dni) dla kobiet.[n][n]
zts2853e	Skrzynia skarbów Kimona Kunoichi
zts2854e	Zawiera Kimono Kunoichi (na sta³e) oraz Kwiatow¹ spinkê do w³osów (na sta³e) dla kobiet.[n][n]
zts2855e	Opaska do w³osów ze wst¹¿k¹ (1 dzieñ)
zts2856e	(Przedmiot dla eventów)[n] Opaska do w³osów z urocz¹ wst¹¿k¹.[n]Czas dzia³ania rozpoczyna siê zaraz po jej za³o¿eniu.[n]Zwiêksza si³ê ataku o 5%[n]Maks. PM zwiêkszone o 200.[n][n]
zts2857e	Bia³y filcowy kapelusz (1 dzieñ)
zts2858e	(Przedmiot dla eventów)[n]£adny kapelusz dla eleganckich mê¿czyzn.[n]Czas dzia³ania rozpoczyna siê wraz z za³o¿eniem.[n]Zwiêksza si³ê ataku o 5%[n] Maksymalne PM zwiêkszone o 200.[n][n]
zts2859e	Kostium Wró¿ki (1 dzieñ)
zts2860e	(Przedmiot dla eventów)[n]Ubranie chêtnie zak³adane przez Wró¿ki.[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu.[n]Zwiêksza si³ê ataku o +5%[n]Maks. PM +200[n][n]
zts2861e	Kostium Demona (1 dzieñ)
zts2862e	(Przedmiot dla eventów)[n]Jest to ulubiony kostium "Ksi¹¿¹t Ciemnoœci". Czas dzia³ania rozpoczyna siê wraz z za³o¿eniem.[n]Zwiêksza si³ê obrony o 5%[n]Maksymalne P¯ +200[n][n]
zts2863e	Skrzynia skarbów Kostiumu zwyciêzcy
zts2864e	Skrzynia z kostiumem Zdobywcy nagrody. [n][n]
zts2865e	Skrzynia skarbów Wró¿ki
zts2866e	Zawiera Ró¿ow¹ kokardê do w³osów (na sta³e) oraz Kostium Wró¿ki (na sta³e) dla kobiet.[n][n]
zts2867e	Skrzynia skarbów Bia³ego demona
zts2868e	Zawiera Kostium Demona (na sta³e) oraz Bia³y filcowy kapelusz (na sta³e) dla mê¿czyzn.[n][n]
zts2869e	Skrzynia skarbów tradycyjnych kapeluszy dla mê¿czyzn
zts2870e	Magiczna Skrzynia, w której znajduj¹ siê kapelusze dla mê¿czyzn.[n]Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Kupon na przywrócenie trwa³oœci, Zwój Ochrony Karty PS (niski poziom), Kupon Nagrody, Hogeon (30 dni), Niebieski azjatycki kapelusz (30 dni) lub Ebosi (30 dni).[n]
zts2871e	Skrzynia skarbów z tradycyjnymi czapkami dla kobiet
zts2872e	Magiczna skrzynia, w której znajduj¹ siê czapki dla kobiet.[n]Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Kupon na przywrócenie trwa³oœci, Zwój Ochrony Karty PS (niski poziom), Kupon Nagrody, Diadem cesarza (30 dni), Kwiatow¹ spinkê do w³osów (30 dni) lub Ayam (30 dni).[n]
zts2873e	Skrzynia tradycyjnego stroju dla kobiet A
zts2874e	Magiczna skrzynia, w której zawarte s¹ tradycyjne kostiumy dla kobiet.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Lekarstwo dla Wspólnika, Zwój Zniesienia, Zwój ochrony wyposa¿enia, B³ogos³awieñstwo Anio³a Stró¿a, Azalea hanbok (30 dni), Krokus hanbok (30 dni) lub Rose hanbok (30 dni).[n]
zts2875e	Skrzynia tradycyjnego stroju dla kobiet B
zts2876e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla kobiet.[n] Mo¿esz otrzymaæ: Skrzyd³o PrzyjaŸni, Lekarstwo dla Wspólnika, Zwój Ochrony Karty PS (niski poziom), Szyld z imieniem dla NosKumpla, Lawendowe Chipao (30 dni), Czerwony Feniks Chipao (30 dni) lub Czarne Chipao (30 dni).[n]
zts2877e	Skrzynia tradycyjnego stroju dla kobiet C
zts2878e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla kobiet.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: B³ogos³awieñstwo Ancelloana, Zwój ochrony wyposa¿enia, Lekarstwo dla Wspólnika, Œredni specjalny eliksir, Zwój ochrony karty PS (Wysoki poziom), Kimono Kwiatu Wiœni (30 dni), Kimono Lily (30 dni) lub Kimono Kunoichi (30 dni).[n]
zts2879e	Skrzynia tradycyjnego stroju dla mê¿czyzn A
zts2880e	Magiczna skrzynia, w której znajduj¹ siê tradycyjne stroje dla mê¿czyzn.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Lekarstwo dla Wspólnika, Zwój Zniesienia, Zwój ochrony wyposa¿enia, B³ogos³awieñstwo Anio³a Stró¿a, Wiosenny hanbok (30 dni), Têczowy hanbok (30 dni) lub Letni hanbok (30 dni).[n]
zts2881e	Skrzynia tradycyjnego stroju dla mê¿czyzn B
zts2882e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla mê¿czyzn.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Skrzyd³o PrzyjaŸni, Lekarstwo dla Wspólnika, Zwój Ochrony Karty PS (niski poziom), Szyld z imieniem dla NosKumpla, Chipao Kung-fu (30 dni), Chipao cesarza (30 dni) lub Chipao smoka (30 dni).[n]
zts2883e	Skrzynia tradycyjnego stroju dla mê¿czyzn C
zts2884e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla mê¿czyzn.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: B³ogos³awieñstwo Ancelloana, Zwój ochrony wyposa¿enia, Lekarstwo dla Wspólnika, Œredni specjalny eliksir, Zwój ochrony karty PS (Wysoki poziom), Kimono œwiat³a ksiê¿yca (30 dni), Kimono porannego blasku (30 dni) lub Kimono Dadami (30 dni). [n]
zts2885e	Skrzynia Kostiumu niedŸwiedzia
zts2886e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla mê¿czyzn i kobiet.[n] Kapelusz Pandy (30 dni), Kostium Pandy (30 dni), Kapelusz NiedŸwiedzia Himalajskiego (30 dni), Kostium NiedŸwiedzia Himalajskiego (30 dni), Zwój Ochrony Karty PS (niski poziom), B³ogos³awieñstwo Ancelloana, Kopertê z prezentem noworocznym, Wodê Ÿródlan¹ z Cylloan, Kupon nagrody, Lekarstwo dla Wspólnika, Plecak Partnera (30 dni) lub Najlepsze Jedzenie dla NosKumpla.[n]
zts2887e	Skrzynia mundurka szkolnego dla kobiet
zts2888e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla kobiet.[n] Mo¿esz otrzymaæ: Zwój ochrony wyposa¿enia, Zwój Zniesienia,Buff Przyspieszacz Wró¿ki, B³ogos³awieñstwo Anio³a Stró¿a, Specjalny Pokarm dla Zwierzaka, B³ogos³awieñstwo Ancelloana, œredni Specjalny œrodek do nape³niania, Liliowy mundurek szkolny (30 dni), ¯ó³ty mundurek szkolny (30 dni) lub Zielony mundurek szkolny (30 dni).[n]
zts2889e	Skrzynia skarbów stroju sportowego dla kobiet
zts2890e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla kobiet.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Zwój ochronny wyposa¿enia, Zwój zniesienia, Wzmacniacz Wró¿ki, B³ogos³awieñstwo Anio³a Stró¿a, Specjalny Pokarm dla Zwierzaka, B³ogos³awieñstwo Ancelloana, Œredni specjalny eliksir, Niebieskie ubranie sportowe (30 dni), Ró¿owe ubranie sportowe (30 dni) lub Czarno-bia³e ubranie sportowe (30 dni).[n]
zts2891e	Skrzynia mundurków dla mê¿czyzn
zts2892e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla mê¿czyzn.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Zwój ochrony wyposa¿enia, Zwój zniesienia, Wzmacniacz Wró¿ki, B³ogos³awieñstwo Anio³a Stró¿a, Specjalny Pokarm dla Zwierzaka, B³ogos³awieñstwo Ancelloana, Œredni specjalny eliksir, M¹dra kurtkê (30 dni), Ognist¹ kurtkê (30 dni) lub Leœn¹ kurtkê (30 dni).[n]
zts2893e	Skrzynia stroju dla mêskich poszukiwaczy przygód
zts2894e	Magiczna skrzynia, w której znajduj¹ siê kostiumy dla mê¿czyzn.[n] Zwój ochronny wyposa¿enia, Zwój ochronny zniesienia, Wzmacniacz Wró¿ki, B³ogos³awieñstwo Anio³a Stró¿a, Specjalny Pokarm dla Zwierzaka, B³ogos³awieñstwo Ancelloan, Œredni specjalny eliksir, Kurtka wojskowa (30 dni), Ubranie odkrywcy (30 dni) lub Heavy metalowe ubranie (30 dni).[n]
zts2895e	Skrzynia hip-hopowych ubrañ dla mê¿czyzn
zts2896e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla mê¿czyzn.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Zwój ochrony wyposa¿enia, Zwój Zniesienia, Wzmacniacz Wró¿ki, B³ogos³awieñstwo Anio³a Stró¿a, Specjalny Pokarm dla Zwierzaka, B³ogos³awieñstwo Ancelloan, Œredni specjalny eliksir, Ogniste ubranie sportowe (30 dnie) lub Hip-hopowe ubranie (30 dni).[n]
zts2897e	Skrzynia stroju sportowego dla mê¿czyzn
zts2898e	Magiczna skrzynia, w której ukryte s¹ kostiumy dla mê¿czyzn.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Zwój ochrony wyposa¿enia, Zwój Zniesienia, Wzmacniacz Wró¿ki, B³ogos³awieñstwo Anio³a Stró¿a, B³ogos³awieñstwo Ancelloan, Specjalny Pokarm dla Zwierzaka, Œredni specjalny eliksir, S³oneczne ubranie sportowe (30 dni) lub Modne ubranie sportowe (30 dni).[n]
zts2899e	Skrzynia Wzmocnienia Specjalisty
zts2900e	Skrzynia, w której znajduj¹ siê sk³adniki udoskonalaj¹ce Karty Specjalistów.[n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: B³yszcz¹c¹ Niebiesk¹ Duszê, B³yszcz¹c¹ Zielon¹ Duszê, B³yszcz¹c¹ Czerwon¹ Duszê, Pióro anio³a, Zwój ochrony karty PS (niski poziom) lub Zwój ochrony karty PS (wysoki poziom).
zts2901e	Olbrzymi Eliksir Odnowy (event)
zts2902e	B³ogos³awieñstwo Anio³a Stró¿a (dla eventów)
zts2903e	Skrzyd³o przyjaŸni (dla eventów)
zts2904e	Lekarstwo dla Wspólnika (dla eventów)
zts2905e	Pi¹ty Klucz szczêœcia
zts2906e	Pi¹ta mityczna skrzynia skarbów
zts2907e	W skrzyni ukryty jest mityczny skarb![n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Per³ê Krzakogona, Per³ê deratyzatora Krzakogona, Per³ê gladiatora Krzakogona, Per³ê chorego Krzakogona, Per³ê wodnego Krzakogona, Ogromny magazyn (na sta³e), Zwój ochrony karty PS (wysoki poziom) lub Pióro Anio³a.[n][n]
zts2908e	Pi¹ta tajemnicza Skrzynia skarbów
zts2909e	W skrzyni ukryty jest tajemniczy skarb![n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów:[n]Dla mê¿czyzn:[n] Têczowy Hanbok i Hogeon (30 dni),[n] Kimono porannego blasku i Ebosi (30 dni),[n]Kostium Demona i Kapelusz Demona (30 dni),[n]Chipao Kunf-fu i Niebieski azjatycki kapelusz (30 dni),[n]Dla kobiet:[n]Kimono Liliowe i Kwiatow¹ spinkê do w³osów (30 dni),[n]Krokus Hanbok i Ayam (30 dni),[n]Czerwony Feniks Chipao i Diadem cesarza (30 dni),[n]Kostium Wró¿ki i Ró¿ow¹ kokardê do w³osów (30 dni)[n][n]
zts2910e	Pi¹ta antyczna Skrzynia skarbów
zts2911e	W skrzyni ukryty jest antyczny skarb![n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Wodê Ÿródlan¹ z Cylloan, B³ogos³awieñstwo Ancelloana, Pakiet kieszonkowy (10 dni), Zwój Ochrony Karty PS (niski poziom), Pióro Aniola lub Zwój ochrony wyposa¿enia.[n][n]
zts2912e	Pi¹ta wartoœciowa Skrzynia skarbów
zts2913e	Pi¹ta wartoœciowa Skrzynia skarbów
zts2915e	Skrzynia skarbów B eventu
zts2916e	Skrzynia skarbów B eventu.[n]Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów: Bia³y filcowy kapelusz (1 dzieñ), Kostium Demona (1 dzieñ), Opaskê do w³osów ze wst¹¿k¹ (1 dzieñ) lub Kostium Wró¿ki (1 dzieñ).[n][n]
zts2917e	Czerwona magiczna wró¿ka
zts2918e	Nie rozwija siê dalej, ma za to poziom 35 elementu ognia.[n] Nosz¹c j¹ gracz jest pod wp³ywem czaru [Czerwony cieñ].[n][n]
zts2919e	Skrzynia z prezentami œwiêta narodowego (Event)
zts2920e	Skrzynia z okazji œwiêta narodowego.[n] W skrzyni znajduj¹ siê ró¿ne przedmioty.[n][n]
zts2922e	Przywraca 1500 PM.[n]Ten przedmiot znika po zakoñczeniu Eventu.[n][n]
zts2924e	Przywraca 1500 P¯ i 1500 PM. [n]Przedmiot ten znika po zakoñczeniu Eventu.[n][n]
zts2926e	Przywraca 1500 P¯.[n]Przedmiot ten znika po zakoñczeniu Eventu.[n][n]
zts2927e	W skrzyni ukryty jest tajemniczy skarb![n] Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów:[n]Dla mê¿czyzn:[n] Têczowy Hanbok i Hogeon (30 dni),[n] Kimono porannego blasku i Ebosi (30 dni),[n]Kostium Demona i Kapelusz Demona (30 dni),[n]Chipao Kung-fu i Niebieski azjatycki kapelusz (30 dni),[n]Dla kobiet:[n]Kimono Liliowe i Kwiatowa spinka do w³osów (30 dni),[n]Krokus hanbok i Ayam (30 dni),[n]Czerwony Fenix Chipao i Diadem cesarza (30 dni),[n]Kosttium Wró¿ki und Ró¿ow¹ kokardê do w³osów (30 dni)[n][n]
zts2928e	Skrzynia z nagrod¹
zts2929e	Skrzynia nagród zawiera nastêpuj¹ce przedmioty: B³ogos³awieñstwo Ancelloan (x3), B³ogos³awieñstwo Anio³a Stró¿a (x2), Lekarstwo dla Wspólnika (x1) i Skrzyd³o przyjaŸni (x5).[n][n]
zts2930e	Pegaz
zts2931e	S³odki Zaj¹czek
zts2932e	Skrzynia zaj¹ca
zts2933e	W skrzyni znajduj¹ siê kostiumy dla mê¿czyzn. Zawiera ona jeden z nastêpuj¹cych przedmiotów: przypadkowy przedmiot pieniê¿ny lub przypadkowy Kostium zaj¹ca dla mê¿czyzn.[n]
zts2934e	Skrzynia króliczka
zts2935e	W skrzyni znajduj¹ siê kostiumy dla kobiet. Zawiera ona jeden z nastêpuj¹cych przedmiotów: przypadkowy przedmiot pieniê¿ny lub Kostium zaj¹ca dla kobiet.[n]
zts2936e	Skrzynia suki
zts2937e	Skrzynia zawiera kostiumy psa dla kobiet. Znajduje siê w niej jeden z nastêpuj¹cych przedmiotów: przypadkowy przedmiot pieniê¿ny lub Kostium psa.[n]
zts2938e	Skrzynia psa
zts2939e	W skrzyni znajduj¹ siê kostiumy psów dla mê¿czyzn. Zawiera ona jeden z nastêpuj¹cych przedmiotów: przypadkowy przedmiot pieniê¿ny lub Kostium psa.[n]
zts2940e	Skrzynia kota
zts2941e	W skrzyni znajduj¹ siê kostiumy dla kobiet. Zawiera ona jeden z nastêpuj¹cych przedmiotów: przypadkowy Przedmiot pieniê¿ny lub Kostium Kota.
zts2942e	Skrzynia Kota
zts2943e	W skrzyni znajduj¹ siê kostiumy dla mê¿czyzn. Zawiera ona jeden z nastêpuj¹cych przedmiotów: przypadkowy Przedmiot pieniê¿ny lub Kostium Kota.[n]
zts2944e	Skrzynia lwicy
zts2945e	W skrzyni znajduj¹ siê kostiumy dla kobiet. Zawiera ona jeden z nastêpuj¹cych przedmiotów: przypadkowy Przedmiot pieniê¿ny lub Kostium lwa.[n]
zts2946e	Skrzynia Lwa
zts2947e	W skrzyni znajduj¹ siê kostiumy dla mê¿czyzn. Zawiera ona jeden z nastêpuj¹cych przedmiotów: przypadkowy Przedmiot pieniê¿ny lub Kostium Lwa.[n]
zts2948e	Skrzynia Dalmatyñczyka
zts2949e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Kostium dalmatyñczyka (30 dni) i Kapelusz dalmatyñczyka (30 dni).
zts2950e	Skrzynia Rottweilera
zts2951e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Kostium Rottweilera (na sta³e) i Kapelusz Rottweilera (na sta³e).[n]
zts2952e	Skrzynia Kota Syjamskiego
zts2953e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Kostium Kota Syjamskiego (30 dni) i Kapelusz Kota Syjamskiego (30 dni).[n]
zts2954e	Skrzynia Rosyjskiego Niebieskiego Kota
zts2955e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Kostium Rosyjskiego Niebieskiego Kota (na sta³e) i Kapelusz Rosyjskiego Niebieskiego Kota.[n]
zts2956e	Skrzynia Ciemnego Lwa
zts2957e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Ciemny Kostium Lwa (30 dni) oraz Ciemny Kapelusz Lwa (30 dni).[n]
zts2958e	Skrzynia Jasnego Lwa
zts2959e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Jasny kostium Lwa (na sta³e) i Jasny kapelusz Lwa (na sta³e).[n]
zts2960e	Skrzynia Buldoga
zts2961e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Kostium Buldoga (30 dni) i Kapelusz Buldoga (30 dni).[n]
zts2962e	Skrzynia Bernardyna
zts2963e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Kostium Bernardyna (30 dni) i Kapelusz Bernardyna (30 dni).[n]
zts2964e	Skrzynia Kota Birmañskiego
zts2965e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Kostium Kota Birmañskiego (30 dni) i Kapelusz Kota Birmañskiego (30 dni).[n]
zts2966e	Skrzynia Kota Korat
zts2967e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Kostium Kota Korat (na sta³e) oraz Kapelusz Kota Korat (na sta³e). [n]
zts2968e	Skrzynia Czarnego Lwa
zts2969e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Czarny Kostium Lwa (30 dni) i Czarny Kapelusz Lwa (30 dni).[n]
zts2970e	Skrzynia Z³otego Lwa
zts2971e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Z³oty Kostium Lwa (na sta³e) i Z³oty Kapelusz Lwa (na sta³e).
zts2972e	Skrzynia Marcowego Królika
zts2973e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Kostium Marcowego Królika (30 dni) i Kapelusz Marcowego Królika (30 dni).[n]
zts2974e	Skrzynia bia³ego Królika
zts2975e	Zawiera nastêpuj¹ce przedmioty dla mê¿czyzn: Bia³y kostium Królika (na sta³e) i Bia³y kapelusz Królika (na sta³e).[n]
zts2976e	Skrzynia Uroczego Króliczka
zts2977e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Kostium Uroczego Króliczka (30 dni) i Uszy Uroczego Króliczka (30 dni).[n]
zts2978e	Skrzynia Rozbrykanego Króliczka
zts2979e	Zawiera nastêpuj¹ce przedmioty dla kobiet: Kostium Rozbrykanego Króliczka (na sta³e) i Uszy Rozbrykanego Króliczka (na sta³e).[n]
zts2980e	Szósty Klucz szczêœcia
zts2981e	Szósta mityczna Skrzynia skarbów
